Sponsored Products Campaign Report,Generated by Amazon Advertising
Report period,2026-08-01 - 2026-08-30,Currency: USD

Date,Campaign Name,Ad Group Name,Keyword,Match Type,Impressions,Clicks,Spend,Orders,Sales
2026-08-03,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,2047,10,10.6,1,25.66
2026-08-03,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,5148,20,15.69,1,22.98
2026-08-03,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,5906,33,32.02,5,128.8
2026-08-03,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,4079,10,8.93,0,0.0
2026-08-03,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,4494,17,13.75,2,54.96
2026-08-04,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,5778,17,12.08,0,0.0
2026-08-04,CUR-Core-Exact,核心精准,shower curtain,EXACT,5805,23,33.91,2,42.12
2026-08-04,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,2986,18,16.55,3,69.81
2026-08-04,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,2283,13,12.69,1,24.84
2026-08-04,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,5878,28,29.57,3,68.13
2026-08-04,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,2867,12,10.15,1,25.32
2026-08-04,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,3634,22,18.35,3,70.68
2026-08-04,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,2495,4,3.25,0,0.0
2026-08-04,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,4410,17,15.9,1,20.96
2026-08-05,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,5708,13,9.79,0,0.0
2026-08-05,CUR-Core-Exact,核心精准,shower curtain,EXACT,3988,14,21.37,0,0.0
2026-08-05,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,3936,19,19.39,2,39.5
2026-08-05,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,4699,22,23.96,2,50.92
2026-08-05,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,4758,24,19.79,4,101.8
2026-08-05,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,5279,22,15.96,2,45.88
2026-08-05,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,3728,16,15.13,2,39.16
2026-08-05,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,5309,13,10.68,0,0.0
2026-08-05,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,5424,19,18.4,1,21.03
2026-08-06,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,3664,10,7.28,0,0.0
2026-08-06,CUR-Core-Exact,核心精准,shower curtain,EXACT,3552,11,16.75,0,0.0
2026-08-06,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,3168,16,19.3,2,47.8
2026-08-06,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,4942,24,24.16,2,38.86
2026-08-06,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,5013,24,19.77,4,96.64
2026-08-06,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,4059,18,12.49,2,46.94
2026-08-06,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,5487,24,21.47,3,63.06
2026-08-06,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,2491,6,5.83,0,0.0
2026-08-06,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,2335,10,9.06,1,27.31
2026-08-07,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,2836,9,6.28,0,0.0
2026-08-07,CUR-Core-Exact,核心精准,shower curtain,EXACT,4643,17,24.68,1,19.55
2026-08-07,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,3877,22,20.33,3,71.22
2026-08-07,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,4072,18,22.06,2,53.62
2026-08-07,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,3513,15,14.43,2,43.24
2026-08-07,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,5305,21,18.4,1,21.59
2026-08-07,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,4717,20,15.8,3,80.73
2026-08-07,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,5040,11,10.78,0,0.0
2026-08-07,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,2833,13,11.72,2,42.32
2026-08-08,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,7148,24,17.59,1,21.39
2026-08-08,CUR-Core-Exact,核心精准,shower curtain,EXACT,2517,9,13.9,0,0.0
2026-08-08,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,4761,26,23.28,3,58.74
2026-08-08,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,7021,37,35.03,3,66.66
2026-08-08,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,5328,21,18.8,2,53.98
2026-08-08,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,6575,29,22.21,2,50.08
2026-08-08,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,5913,25,23.7,4,90.24
2026-08-08,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,5677,13,11.37,0,0.0
2026-08-08,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,6595,33,25.47,5,127.65
2026-08-09,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,4200,14,11.04,0,0.0
2026-08-09,CUR-Core-Exact,核心精准,shower curtain,EXACT,3770,14,16.68,1,26.75
2026-08-09,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,6895,37,43.73,4,88.2
2026-08-09,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,6700,37,34.88,3,61.92
2026-08-09,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,4180,18,18.5,2,44.12
2026-08-09,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,5107,18,14.56,2,54.7
2026-08-09,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,3090,18,15.67,2,55.5
2026-08-09,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,2695,5,5.08,0,0.0
2026-08-09,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,5603,30,30.24,3,61.83
2026-08-10,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,2181,7,5.92,0,0.0
2026-08-10,CUR-Core-Exact,核心精准,shower curtain,EXACT,4946,24,29.46,2,45.56
2026-08-10,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,5886,34,33.71,4,106.12
2026-08-10,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,4948,28,32.34,3,65.52
2026-08-10,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,4855,21,19.47,2,54.72
2026-08-10,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,4774,19,15.52,1,22.55
2026-08-10,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,5414,22,18.31,2,48.24
2026-08-10,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,4681,9,9.0,0,0.0
2026-08-10,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,5251,27,21.89,4,78.64
2026-08-11,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,4111,13,8.56,0,0.0
2026-08-11,CUR-Core-Exact,核心精准,shower curtain,EXACT,2962,13,15.97,0,0.0
2026-08-11,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,3002,19,21.56,2,46.0
2026-08-11,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,5629,29,33.78,2,46.7
2026-08-11,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,2999,12,12.74,2,53.28
2026-08-11,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,5626,18,13.0,1,27.52
2026-08-11,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,4121,21,20.09,3,59.97
2026-08-11,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,2546,6,6.53,0,0.0
2026-08-11,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,5891,29,28.57,3,80.79
2026-08-12,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,3747,12,10.07,0,0.0
2026-08-12,CUR-Core-Exact,核心精准,shower curtain,EXACT,3944,16,23.8,1,21.4
2026-08-12,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,5185,28,27.41,4,78.4
2026-08-12,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,3170,14,17.22,1,19.63
2026-08-12,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,2617,11,11.1,1,19.48
2026-08-12,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,3669,12,8.34,1,26.4
2026-08-12,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,3595,21,18.9,3,79.83
2026-08-12,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,5135,11,11.84,0,0.0
2026-08-12,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,3597,18,15.81,2,51.26
2026-08-13,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,4236,14,10.46,1,21.36
2026-08-13,CUR-Core-Exact,核心精准,shower curtain,EXACT,3989,13,18.49,1,22.54
2026-08-13,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,2676,16,19.22,2,47.42
2026-08-13,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,5714,27,25.49,3,74.04
2026-08-13,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,2555,14,12.34,1,21.85
2026-08-13,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,3862,13,10.02,1,25.67
2026-08-13,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,5407,27,22.75,4,102.56
2026-08-13,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,2213,5,4.96,0,0.0
2026-08-13,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,4669,17,14.14,1,26.45
2026-08-14,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,4544,11,8.67,0,0.0
2026-08-14,CUR-Core-Exact,核心精准,shower curtain,EXACT,2892,11,14.27,0,0.0
2026-08-14,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,5947,35,40.27,3,82.74
2026-08-14,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,2442,12,13.5,1,27.07
2026-08-14,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,3537,16,13.27,2,50.24
2026-08-14,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,4569,15,11.29,1,25.06
2026-08-14,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,5299,23,21.21,4,88.08
2026-08-14,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,3754,8,7.94,0,0.0
2026-08-14,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,3720,18,18.44,1,24.62
2026-08-15,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,6742,19,12.87,0,0.0
2026-08-15,CUR-Core-Exact,核心精准,shower curtain,EXACT,5830,22,30.04,2,46.5
2026-08-15,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,4730,29,28.83,4,84.44
2026-08-15,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,7285,30,30.46,4,92.32
2026-08-15,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,5623,28,26.55,4,87.32
2026-08-15,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,4996,16,12.19,2,53.64
2026-08-15,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,6090,36,30.75,5,103.1
2026-08-15,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,3735,8,8.19,0,0.0
2026-08-15,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,5806,28,21.55,3,64.65
2026-08-16,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,4570,14,10.76,0,0.0
2026-08-16,CUR-Core-Exact,核心精准,shower curtain,EXACT,5217,20,27.41,2,44.14
2026-08-16,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,4822,24,22.33,2,41.26
2026-08-16,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,3111,17,19.77,2,41.24
2026-08-16,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,6281,29,31.49,5,118.1
2026-08-16,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,3948,17,12.77,2,44.3
2026-08-16,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,4047,16,12.68,2,55.34
2026-08-16,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,5332,10,9.89,0,0.0
2026-08-16,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,3025,15,13.38,2,45.72
2026-08-17,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,2755,9,7.48,0,0.0
2026-08-17,CUR-Core-Exact,核心精准,shower curtain,EXACT,2267,9,12.62,0,0.0
2026-08-17,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,2611,16,14.71,2,42.26
2026-08-17,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,4285,23,27.51,2,41.86
2026-08-17,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,4140,18,16.06,3,72.6
2026-08-17,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,3756,13,10.74,1,25.56
2026-08-17,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,5881,33,26.07,5,98.15
2026-08-17,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,2982,5,4.04,0,0.0
2026-08-17,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,4432,19,16.01,1,21.44
2026-08-18,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,5520,16,13.53,1,25.99
2026-08-18,CUR-Core-Exact,核心精准,shower curtain,EXACT,4560,19,23.32,2,39.86
2026-08-18,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,2920,17,19.6,2,39.08
2026-08-18,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,2679,14,16.9,1,27.19
2026-08-18,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,3798,15,15.1,2,54.76
2026-08-18,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,4049,15,12.35,1,26.9
2026-08-18,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,5008,24,17.9,3,82.68
2026-08-18,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,5424,13,10.57,0,0.0
2026-08-18,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,5364,21,20.35,1,23.13
2026-08-19,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,4668,13,11.2,0,0.0
2026-08-19,CUR-Core-Exact,核心精准,shower curtain,EXACT,5335,22,28.35,1,21.9
2026-08-19,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,4744,21,21.47,2,46.72
2026-08-19,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,4713,27,30.15,3,68.97
2026-08-19,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,3288,14,14.39,1,26.68
2026-08-19,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,5378,24,19.45,2,45.24
2026-08-19,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,2768,14,11.89,2,45.76
2026-08-19,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,2211,4,4.29,0,0.0
2026-08-19,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,4860,21,19.64,1,26.09
2026-08-20,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,4907,12,9.14,0,0.0
2026-08-20,CUR-Core-Exact,核心精准,shower curtain,EXACT,5446,26,31.07,2,52.78
2026-08-20,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,4041,26,28.98,3,67.92
2026-08-20,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,3976,23,25.69,2,44.7
2026-08-20,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,5775,28,23.7,5,97.65
2026-08-20,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,5164,21,18.99,2,46.94
2026-08-20,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,5360,22,20.59,3,72.36
2026-08-20,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,4703,10,9.61,0,0.0
2026-08-20,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,4260,21,21.35,2,53.46
2026-08-21,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,4856,13,10.79,0,0.0
2026-08-21,CUR-Core-Exact,核心精准,shower curtain,EXACT,3303,15,22.14,1,22.37
2026-08-21,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,4718,28,26.33,4,110.32
2026-08-21,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,2517,12,14.66,1,26.77
2026-08-21,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,3803,15,12.18,2,40.4
2026-08-21,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,5567,22,17.44,1,27.62
2026-08-21,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,3386,18,13.37,2,43.72
2026-08-21,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,4762,11,9.88,0,0.0
2026-08-21,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,5110,22,20.5,2,42.02
2026-08-22,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,6003,21,16.92,1,22.81
2026-08-22,CUR-Core-Exact,核心精准,shower curtain,EXACT,3003,13,15.45,1,20.4
2026-08-22,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,4032,25,28.58,2,43.08
2026-08-22,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,4418,21,22.49,2,50.08
2026-08-22,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,3421,14,14.78,1,24.48
2026-08-22,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,3732,14,10.3,1,24.64
2026-08-22,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,4852,22,20.41,2,54.02
2026-08-22,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,5968,13,14.0,0,0.0
2026-08-22,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,4031,19,15.82,2,53.02
2026-08-23,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,3518,12,7.94,0,0.0
2026-08-23,CUR-Core-Exact,核心精准,shower curtain,EXACT,4337,18,22.81,2,55.4
2026-08-23,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,5870,30,34.95,2,51.8
2026-08-23,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,7483,30,32.97,3,81.12
2026-08-23,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,3965,21,21.76,2,41.74
2026-08-23,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,3472,13,11.09,1,24.83
2026-08-23,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,6791,30,26.48,3,57.75
2026-08-23,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,6537,14,14.23,0,0.0
2026-08-23,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,4010,16,13.11,1,25.98
2026-08-24,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,5589,19,16.02,1,26.37
2026-08-24,CUR-Core-Exact,核心精准,shower curtain,EXACT,3052,14,21.55,1,21.56
2026-08-24,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,5565,28,33.48,3,60.51
2026-08-24,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,5958,26,30.1,3,67.44
2026-08-24,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,5464,29,29.95,4,76.12
2026-08-24,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,4197,13,11.18,1,21.26
2026-08-24,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,3560,20,15.0,3,63.0
2026-08-24,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,2102,4,3.6,0,0.0
2026-08-24,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,4652,17,17.18,2,43.24
2026-08-25,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,3672,9,5.81,0,0.0
2026-08-25,CUR-Core-Exact,核心精准,shower curtain,EXACT,2475,8,9.62,0,0.0
2026-08-25,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,4746,30,31.88,4,96.76
2026-08-25,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,4976,21,20.32,2,46.6
2026-08-25,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,3671,20,20.08,2,41.72
2026-08-25,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,3821,17,11.97,2,50.14
2026-08-25,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,4230,25,18.45,4,85.52
2026-08-25,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,5965,11,10.31,0,0.0
2026-08-25,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,4628,21,16.35,3,65.7
2026-08-26,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,2515,8,6.59,0,0.0
2026-08-26,CUR-Core-Exact,核心精准,shower curtain,EXACT,4401,16,20.49,1,20.23
2026-08-26,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,5688,32,38.48,3,83.37
2026-08-26,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,4212,18,20.76,1,19.13
2026-08-26,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,2060,9,8.78,1,19.04
2026-08-26,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,3086,9,7.26,1,25.61
2026-08-26,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,3950,20,17.48,2,45.94
2026-08-26,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,2907,7,7.22,0,0.0
2026-08-26,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,4135,17,13.15,2,55.78
2026-08-27,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,5470,15,11.22,1,27.09
2026-08-27,CUR-Core-Exact,核心精准,shower curtain,EXACT,2301,11,13.28,0,0.0
2026-08-27,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,4557,26,25.87,3,83.55
2026-08-27,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,4173,19,20.46,2,52.08
2026-08-27,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,2468,13,13.35,2,50.78
2026-08-27,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,2880,10,7.79,1,26.35
2026-08-27,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,3633,18,14.96,2,49.78
2026-08-27,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,3533,9,8.48,0,0.0
2026-08-27,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,2349,8,7.72,0,0.0
2026-08-28,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,4278,10,7.64,0,0.0
2026-08-28,CUR-Core-Exact,核心精准,shower curtain,EXACT,3682,14,20.32,1,26.71
2026-08-28,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,4953,22,21.8,2,39.66
2026-08-28,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,4078,18,18.16,2,39.74
2026-08-28,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,5462,26,23.06,3,62.82
2026-08-28,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,3757,16,14.02,2,48.84
2026-08-28,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,4632,24,21.37,3,75.42
2026-08-28,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,2118,4,3.58,0,0.0
