Sponsored Products Search Term Report

Date,Campaign Name,Ad Group Name,Customer Search Term,Match Type,Impressions,Clicks,Spend,Orders,Sales
2026-08-09,CUR-Auto-Discovery,自动发现,waterproof fabric shower liner,AUTO,1795,8,7.1,1,19.82
2026-08-09,CUR-Auto-Discovery,自动发现,black shower curtain,AUTO,1137,2,2.15,0,0.0
2026-08-09,CUR-Auto-Discovery,自动发现,hotel collection shower curtain,AUTO,1169,3,2.14,0,0.0
2026-08-09,CUR-Auto-Discovery,自动发现,peva shower liner,AUTO,1542,5,4.1,0,0.0
2026-08-09,CUR-Auto-Discovery,自动发现,shower curtain magnets,AUTO,991,3,3.05,0,0.0
2026-08-10,CUR-Auto-Discovery,自动发现,fabric shower curtain 72,AUTO,746,3,1.94,0,0.0
2026-08-10,CUR-Auto-Discovery,自动发现,waterproof fabric shower liner,AUTO,1317,4,3.19,0,0.0
2026-08-10,CUR-Auto-Discovery,自动发现,black shower curtain,AUTO,541,2,1.25,0,0.0
2026-08-10,CUR-Auto-Discovery,自动发现,shower curtain for clawfoot tub,AUTO,762,3,1.9,0,0.0
2026-08-10,CUR-Auto-Discovery,自动发现,peva shower liner,AUTO,527,3,2.89,0,0.0
2026-08-11,CUR-Auto-Discovery,自动发现,waterproof fabric shower liner,AUTO,950,3,1.86,0,0.0
2026-08-12,CUR-Auto-Discovery,自动发现,fabric shower curtain 72,AUTO,253,1,0.83,0,0.0
2026-08-12,CUR-Auto-Discovery,自动发现,waffle weave shower curtain,AUTO,784,3,2.16,0,0.0
2026-08-12,CUR-Auto-Discovery,自动发现,hotel collection shower curtain,AUTO,379,2,2.38,0,0.0
2026-08-12,CUR-Auto-Discovery,自动发现,peva shower liner,AUTO,1326,5,5.55,0,0.0
2026-08-12,CUR-Auto-Discovery,自动发现,shower curtain magnets,AUTO,1506,4,2.94,0,0.0
2026-08-13,CUR-Auto-Discovery,自动发现,fabric shower curtain 72,AUTO,684,3,2.8,0,0.0
2026-08-13,CUR-Auto-Discovery,自动发现,waterproof fabric shower liner,AUTO,1329,3,1.92,0,0.0
2026-08-13,CUR-Auto-Discovery,自动发现,shower curtain rings 12,AUTO,1180,3,3.18,0,0.0
2026-08-13,CUR-Auto-Discovery,自动发现,waffle weave shower curtain,AUTO,1515,4,3.64,0,0.0
2026-08-13,CUR-Auto-Discovery,自动发现,shower curtain for clawfoot tub,AUTO,1329,6,7.08,0,0.0
2026-08-13,CUR-Auto-Discovery,自动发现,bathroom curtains clearance,AUTO,313,0,0.0,0,0.0
2026-08-13,CUR-Auto-Discovery,自动发现,peva shower liner,AUTO,661,2,2.27,0,0.0
2026-08-14,CUR-Auto-Discovery,自动发现,fabric shower curtain 72,AUTO,1328,4,3.87,0,0.0
2026-08-14,CUR-Auto-Discovery,自动发现,waterproof fabric shower liner,AUTO,1412,8,7.96,0,0.0
2026-08-14,CUR-Auto-Discovery,自动发现,shower curtain rings 12,AUTO,1354,2,2.24,0,0.0
2026-08-14,CUR-Auto-Discovery,自动发现,black shower curtain,AUTO,1779,8,8.48,1,22.17
2026-08-14,CUR-Auto-Discovery,自动发现,waffle weave shower curtain,AUTO,1219,6,5.91,0,0.0
2026-08-14,CUR-Auto-Discovery,自动发现,bathroom curtains clearance,AUTO,1031,2,1.29,0,0.0
2026-08-15,CUR-Auto-Discovery,自动发现,fabric shower curtain 72,AUTO,840,4,4.77,0,0.0
2026-08-15,CUR-Auto-Discovery,自动发现,shower curtain rings 12,AUTO,1254,3,2.37,0,0.0
2026-08-15,CUR-Auto-Discovery,自动发现,peva shower liner,AUTO,708,4,4.35,0,0.0
2026-08-15,CUR-Auto-Discovery,自动发现,shower curtain magnets,AUTO,588,3,2.73,0,0.0
2026-08-16,CUR-Auto-Discovery,自动发现,shower curtain rings 12,AUTO,1235,2,1.49,0,0.0
2026-08-16,CUR-Auto-Discovery,自动发现,shower curtain for clawfoot tub,AUTO,1539,7,4.23,0,0.0
2026-08-17,CUR-Auto-Discovery,自动发现,shower curtain rings 12,AUTO,942,2,1.29,0,0.0
2026-08-17,CUR-Auto-Discovery,自动发现,black shower curtain,AUTO,772,4,3.87,0,0.0
2026-08-17,CUR-Auto-Discovery,自动发现,bathroom curtains clearance,AUTO,1342,4,4.21,0,0.0
2026-08-18,CUR-Auto-Discovery,自动发现,waffle weave shower curtain,AUTO,1255,3,2.37,0,0.0
2026-08-18,CUR-Auto-Discovery,自动发现,shower curtain for clawfoot tub,AUTO,812,3,2.72,0,0.0
2026-08-18,CUR-Auto-Discovery,自动发现,bathroom curtains clearance,AUTO,1172,3,2.46,0,0.0
2026-08-18,CUR-Auto-Discovery,自动发现,hotel collection shower curtain,AUTO,1395,4,4.49,0,0.0
2026-08-18,CUR-Auto-Discovery,自动发现,peva shower liner,AUTO,743,4,4.26,0,0.0
2026-08-18,CUR-Auto-Discovery,自动发现,shower curtain magnets,AUTO,1395,5,5.16,0,0.0
2026-08-19,CUR-Auto-Discovery,自动发现,waterproof fabric shower liner,AUTO,696,1,0.67,0,0.0
2026-08-19,CUR-Auto-Discovery,自动发现,waffle weave shower curtain,AUTO,1040,4,3.53,0,0.0
2026-08-19,CUR-Auto-Discovery,自动发现,shower curtain for clawfoot tub,AUTO,1645,4,3.18,0,0.0
2026-08-19,CUR-Auto-Discovery,自动发现,shower curtain magnets,AUTO,901,3,3.36,0,0.0
2026-08-20,CUR-Auto-Discovery,自动发现,fabric shower curtain 72,AUTO,741,3,2.24,0,0.0
2026-08-20,CUR-Auto-Discovery,自动发现,shower curtain rings 12,AUTO,809,2,2.05,0,0.0
2026-08-20,CUR-Auto-Discovery,自动发现,shower curtain for clawfoot tub,AUTO,1677,5,5.03,0,0.0
2026-08-20,CUR-Auto-Discovery,自动发现,bathroom curtains clearance,AUTO,906,3,3.25,0,0.0
2026-08-20,CUR-Auto-Discovery,自动发现,peva shower liner,AUTO,909,5,5.24,0,0.0
2026-08-20,CUR-Auto-Discovery,自动发现,shower curtain magnets,AUTO,755,4,2.73,0,0.0
2026-08-21,CUR-Auto-Discovery,自动发现,fabric shower curtain 72,AUTO,696,1,0.74,0,0.0
2026-08-21,CUR-Auto-Discovery,自动发现,waffle weave shower curtain,AUTO,481,1,1.16,0,0.0
2026-08-21,CUR-Auto-Discovery,自动发现,shower curtain for clawfoot tub,AUTO,1174,4,4.71,0,0.0
2026-08-21,CUR-Auto-Discovery,自动发现,bathroom curtains clearance,AUTO,1774,2,1.89,0,0.0
2026-08-21,CUR-Auto-Discovery,自动发现,hotel collection shower curtain,AUTO,276,1,1.13,0,0.0
2026-08-21,CUR-Auto-Discovery,自动发现,peva shower liner,AUTO,1013,5,5.25,0,0.0
2026-08-22,CUR-Auto-Discovery,自动发现,shower curtain rings 12,AUTO,886,1,1.19,0,0.0
2026-08-22,CUR-Auto-Discovery,自动发现,waffle weave shower curtain,AUTO,1232,5,3.34,0,0.0
2026-08-22,CUR-Auto-Discovery,自动发现,peva shower liner,AUTO,804,3,2.12,0,0.0
2026-08-22,CUR-Auto-Discovery,自动发现,shower curtain magnets,AUTO,1075,4,4.01,0,0.0
2026-08-23,CUR-Auto-Discovery,自动发现,shower curtain for clawfoot tub,AUTO,875,3,1.82,0,0.0
2026-08-23,CUR-Auto-Discovery,自动发现,bathroom curtains clearance,AUTO,327,0,0.0,0,0.0
2026-08-23,CUR-Auto-Discovery,自动发现,hotel collection shower curtain,AUTO,1640,8,7.87,1,27.41
2026-08-24,CUR-Auto-Discovery,自动发现,fabric shower curtain 72,AUTO,1179,3,2.89,0,0.0
2026-08-24,CUR-Auto-Discovery,自动发现,waffle weave shower curtain,AUTO,647,3,2.87,0,0.0
2026-08-24,CUR-Auto-Discovery,自动发现,peva shower liner,AUTO,429,1,0.9,0,0.0
2026-08-25,CUR-Auto-Discovery,自动发现,waffle weave shower curtain,AUTO,386,2,1.27,0,0.0
2026-08-25,CUR-Auto-Discovery,自动发现,bathroom curtains clearance,AUTO,1344,3,3.25,0,0.0
2026-08-25,CUR-Auto-Discovery,自动发现,peva shower liner,AUTO,1727,5,4.27,0,0.0
2026-08-26,CUR-Auto-Discovery,自动发现,waterproof fabric shower liner,AUTO,1166,3,3.18,0,0.0
2026-08-26,CUR-Auto-Discovery,自动发现,shower curtain rings 12,AUTO,1522,5,4.12,0,0.0
2026-08-26,CUR-Auto-Discovery,自动发现,waffle weave shower curtain,AUTO,973,3,2.99,0,0.0
2026-08-26,CUR-Auto-Discovery,自动发现,shower curtain for clawfoot tub,AUTO,912,2,1.67,0,0.0
2026-08-26,CUR-Auto-Discovery,自动发现,bathroom curtains clearance,AUTO,207,0,0.0,0,0.0
2026-08-26,CUR-Auto-Discovery,自动发现,hotel collection shower curtain,AUTO,1068,4,2.99,0,0.0
2026-08-26,CUR-Auto-Discovery,自动发现,shower curtain magnets,AUTO,1684,8,7.97,0,0.0
2026-08-27,CUR-Auto-Discovery,自动发现,fabric shower curtain 72,AUTO,232,0,0.0,0,0.0
2026-08-27,CUR-Auto-Discovery,自动发现,waterproof fabric shower liner,AUTO,299,1,0.86,0,0.0
2026-08-27,CUR-Auto-Discovery,自动发现,shower curtain rings 12,AUTO,1789,2,1.8,0,0.0
2026-08-27,CUR-Auto-Discovery,自动发现,black shower curtain,AUTO,1698,7,7.44,0,0.0
2026-08-27,CUR-Auto-Discovery,自动发现,shower curtain for clawfoot tub,AUTO,1552,6,4.59,0,0.0
2026-08-27,CUR-Auto-Discovery,自动发现,bathroom curtains clearance,AUTO,1705,5,4.88,0,0.0
2026-08-27,CUR-Auto-Discovery,自动发现,peva shower liner,AUTO,1517,7,5.54,1,22.16
2026-08-28,CUR-Auto-Discovery,自动发现,waterproof fabric shower liner,AUTO,1169,3,3.34,0,0.0
2026-08-29,CUR-Auto-Discovery,自动发现,waffle weave shower curtain,AUTO,305,1,0.96,0,0.0
2026-08-29,CUR-Auto-Discovery,自动发现,bathroom curtains clearance,AUTO,1683,4,2.92,0,0.0
2026-08-29,CUR-Auto-Discovery,自动发现,hotel collection shower curtain,AUTO,820,4,4.65,0,0.0
2026-08-29,CUR-Auto-Discovery,自动发现,shower curtain magnets,AUTO,1180,6,6.13,0,0.0
2026-08-30,CUR-Auto-Discovery,自动发现,waffle weave shower curtain,AUTO,831,2,1.8,0,0.0
2026-08-30,CUR-Auto-Discovery,自动发现,shower curtain for clawfoot tub,AUTO,1161,5,3.61,0,0.0
2026-08-30,CUR-Auto-Discovery,自动发现,hotel collection shower curtain,AUTO,1718,5,5.8,0,0.0
